year,type,product,country,qty_per_year,value_per_year
2560,ทุเรียน,ทุเรียนสด,Afghanistan,0,0
2560,ทุเรียน,ทุเรียนสด,Australia,"46,288","10,434,837"
2560,ทุเรียน,ทุเรียนสด,Austria,16,"10,080"
2560,ทุเรียน,ทุเรียนสด,Bahrain,"7,187","871,835"
2560,ทุเรียน,ทุเรียนสด,Bangladesh,21,"2,310"
2560,ทุเรียน,ทุเรียนสด,Belgium,0,0
2560,ทุเรียน,ทุเรียนสด,Brunei,634,"97,617"
2560,ทุเรียน,ทุเรียนสด,Cambodia,"1,660","60,102"
2560,ทุเรียน,ทุเรียนสด,Canada,"41,513","5,310,704"
2560,ทุเรียน,ทุเรียนสด,Chile,"14,469","1,874,964"
2560,ทุเรียน,ทุเรียนสด,China,"135,708,133","7,348,142,635"
2560,ทุเรียน,ทุเรียนสด,congo,0,0
2560,ทุเรียน,ทุเรียนสด,czech,0,0
2560,ทุเรียน,ทุเรียนสด,Denmark,"3,584","944,329"
2560,ทุเรียน,ทุเรียนสด,Egypt,0,0
2560,ทุเรียน,ทุเรียนสด,Finland,98,"48,871"
2560,ทุเรียน,ทุเรียนสด,France,"45,259","4,490,881"
2560,ทุเรียน,ทุเรียนสด,Germany,"1,237","102,692"
2560,ทุเรียน,ทุเรียนสด,Ghana,0,0
2560,ทุเรียน,ทุเรียนสด,Hong Kong,"81,570,613","4,172,327,235"
2560,ทุเรียน,ทุเรียนสด,Hungary,0,0
2560,ทุเรียน,ทุเรียนสด,India,"6,793","423,959"
2560,ทุเรียน,ทุเรียนสด,Indonesia,"760,728","42,136,334"
2560,ทุเรียน,ทุเรียนสด,Ireland,"1,045","98,773"
2560,ทุเรียน,ทุเรียนสด,Italy,"11,297","2,569,799"
2560,ทุเรียน,ทุเรียนสด,Japan,"82,578","10,889,196"
2560,ทุเรียน,ทุเรียนสด,Jordan,0,0
2560,ทุเรียน,ทุเรียนสด,Kazakhstan,0,0
2560,ทุเรียน,ทุเรียนสด,kenya,0,0
2560,ทุเรียน,ทุเรียนสด,Kuwait,"4,119","521,171"
2560,ทุเรียน,ทุเรียนสด,Laos,"543,461","22,282,471"
2560,ทุเรียน,ทุเรียนสด,Macau,0,0
2560,ทุเรียน,ทุเรียนสด,Malaysia,"4,465,561","122,763,086"
